sample_id,width,height,ground_truth_foreground_pixels,predicted_foreground_pixels,true_positive,true_negative,false_positive,false_negative,dice,iou,precision,recall,specificity,balanced_accuracy,pixel_accuracy,mcc,binary_cross_entropy,foreground_area_error_percent
3bfa8b3b01fd24a28477f103063d17368a7398b27331e020f3a0ef59bf68c940,320,256,20728,22422,18559,57329,3863,2169,0.8602085747392816,0.7547070066284413,0.8277138524663277,0.8953589347742185,0.9368708327885998,0.9161148837814092,0.9263671875,0.8114857762987524,0.17822218212511726,8.172520262446932
8e8a7a14749d0b2e48de3d10e2e80063f17b165ad921c8afc0623f08500f3259,256,256,2347,3320,2206,62075,1114,141,0.7785424386800777,0.6373880381392661,0.6644578313253012,0.93992330634853,0.9823703492696514,0.9611468278090907,0.9808502197265625,0.7814953934196668,0.051639622329801814,41.45717937792927
af8621ef0db8c26b0bce6385bd5609b584bfd678fcf7a234b8a15e6bb05c15ac,256,256,5179,5083,4974,60248,109,205,0.9694016760865328,0.9406202723146747,0.9785559708833366,0.9604170689322263,0.9981940785658664,0.9793055737490464,0.995208740234375,0.9668526000690705,0.011975133829499855,1.8536396987835488
f4b7c24baf69b8752c49d0eb5db4b7b5e1524945d48e54925bff401d5658045d,320,256,5142,1731,1731,76778,0,3411,0.50371017023134,0.33663943990665113,1.0,0.33663943990665113,1.0,0.6683197199533255,0.95836181640625,0.56773216037399,0.2030619958326553,66.33605600933488
f20eb4592e7d3cf58d421a9c34832d33adcdcbd0e17b7bf009a013847608da27,256,256,4645,4789,4578,60680,211,67,0.9705321178715285,0.9427512355848435,0.9559406974316141,0.9855758880516685,0.9965347916769309,0.9910553398642997,0.995758056640625,0.9683782131843447,0.010656960550075196,3.10010764262648
24a20f2a529cede5695df2422a3986505b5826bb10b10781d6db2074cf3de7b3,320,256,4908,5211,4536,76337,675,372,0.8965312777942485,0.8124664159054272,0.8704663212435233,0.9242053789731052,0.9912351321871916,0.9577202555801484,0.98721923828125,0.8901801552689215,0.04594418758744046,6.17359413202934
f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab,256,256,3100,3250,3071,62257,179,29,0.9672440944881889,0.9365660262275084,0.944923076923077,0.9906451612903225,0.9971330642578,0.9938891127740612,0.996826171875,0.9658750107520426,0.008141127372593655,4.838709677419355
1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e,256,256,955,963,905,64523,58,50,0.9436913451511991,0.8933859822309971,0.9397715472481828,0.9476439790575916,0.9991019030364968,0.9733729410470442,0.99835205078125,0.9428635959773992,0.005636888929718905,0.837696335078534
6c67b78e8164801059375ed9a607f61e67a7ae347e92e36a7f20514224541d56,320,256,20385,27940,20193,53788,7747,192,0.8357165028453182,0.7177946822124271,0.7227272727272728,0.9905813097866077,0.8741041683594702,0.932342739073039,0.90308837890625,0.7885785953406341,0.2670517884052789,37.06156487613441
56d0da5b663ddd49955478c00ca03118c367ff7dd6a646b8c875b0acb207d1c5,360,360,38040,36739,36172,90993,567,1868,0.9674373821527434,0.9369285362758049,0.9845668091129317,0.9508937960042061,0.9938073394495412,0.9723505677268737,0.9812114197530865,0.95452485133208,0.05094412651795311,3.4200841219768665
11a0170f44e3ab4a8d669ae8ea9546d3a32ebfe6486d9066e5648d30b4e1cb69,256,256,1738,1781,1669,63686,112,69,0.9485649332196647,0.9021621621621622,0.9371139809096013,0.9602991944764097,0.9982444590739522,0.979271826775181,0.9972381591796875,0.9472208073497674,0.006560741750467681,2.4741081703107017
1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5,256,256,5675,5814,5498,59545,316,177,0.957089389851162,0.9177098981806042,0.9456484348125215,0.9688105726872247,0.99472110389068,0.9817658382889524,0.9924774169921875,0.9530511907687285,0.01880639675754448,2.449339207048458
4a424e0cb845cf6fd4d9fe62875552c7b89a4e0276cf16ebf46babe4656a794e,256,256,11678,12576,11120,52402,1456,558,0.9169621505731014,0.8466575300746155,0.8842239185750637,0.9522178455214934,0.9729659474915519,0.9625918965065225,0.969268798828125,0.8990671096348176,0.08149157414605449,7.689672889193355
e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f,256,256,2935,3125,2807,62283,318,128,0.9264026402640264,0.8628957885029204,0.89824,0.9563884156729131,0.9949202089423491,0.9756543123076311,0.993194580078125,0.9233376417129769,0.01693039874966368,6.473594548551959
8d9b4205ddb10fa49a2973b4f3a2dc6923407ae015081e1a52c4b4c2fe8faa53,256,256,4320,4453,4236,60999,217,84,0.9656901857973327,0.9336566012783778,0.9512688075454749,0.9805555555555555,0.9964551751176163,0.9885053653365858,0.9954071044921875,0.9633567714135877,0.012271952098843056,3.0787037037037037
6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc,696,520,38175,40538,37921,321128,2617,254,0.9635257200208351,0.9296185526573838,0.9354432877793675,0.9933464309102816,0.9919164774745556,0.9926314541924186,0.9920673076923077,0.9596243457093953,0.02140175712164735,6.189914865749836
