minimum_size,minimum_distance,threshold_relative,mae,rmse,median_absolute_error,mean_signed_error,mean_absolute_percentage_error,within_one_count_fraction,within_three_count_fraction,pearson_correlation
5,8,0.05,6.104477611940299,14.199537516117973,3.0,0.582089552238806,159.95565706249795,0.373134328358209,0.582089552238806,0.9255347827995829
5,8,0.1,6.104477611940299,14.199537516117973,3.0,0.582089552238806,159.95565706249795,0.373134328358209,0.582089552238806,0.9255347827995829
5,6,0.1,6.567164179104478,15.440787235363397,3.0,3.074626865671642,172.54602768961624,0.3880597014925373,0.5074626865671642,0.9207242624288906
5,6,0.05,6.597014925373134,15.4436868229891,3.0,3.1044776119402986,172.67876322144326,0.3582089552238806,0.5074626865671642,0.9207150602878517
10,8,0.05,6.985074626865671,15.195246703757714,3.0,-0.8656716417910447,158.33365734644104,0.373134328358209,0.6119402985074627,0.91415891162214
10,8,0.1,6.985074626865671,15.195246703757714,3.0,-0.8656716417910447,158.33365734644104,0.373134328358209,0.6119402985074627,0.91415891162214
10,6,0.1,7.119402985074627,15.880618056320927,3.0,1.537313432835821,170.2532585916615,0.3880597014925373,0.5373134328358209,0.9117741706967704
10,6,0.05,7.149253731343284,15.883437351201794,3.0,1.5671641791044777,170.3859941234885,0.3582089552238806,0.5373134328358209,0.9117373661079006
5,5,0.1,7.253731343283582,16.44892592782594,3.0,5.014925373134329,178.77658543574705,0.3880597014925373,0.5074626865671642,0.9222151297174486
5,5,0.05,7.298507462686567,16.458450626195816,3.0,5.059701492537314,178.9646001273309,0.3582089552238806,0.5074626865671642,0.9221848672953114
10,5,0.1,7.462686567164179,16.377997617845388,3.0,3.343283582089552,175.88573466378247,0.40298507462686567,0.5223880597014925,0.9153985255263422
10,5,0.05,7.492537313432836,16.380731308734518,3.0,3.373134328358209,176.01847019560952,0.373134328358209,0.5223880597014925,0.9153821758023484
20,8,0.05,7.656716417910448,16.576822517482636,3.0,-2.1940298507462686,154.8412219725534,0.373134328358209,0.5970149253731343,0.8993048076446848
20,8,0.1,7.656716417910448,16.576822517482636,3.0,-2.1940298507462686,154.8412219725534,0.373134328358209,0.5970149253731343,0.8993048076446848
20,6,0.1,7.82089552238806,17.187291382723075,3.0,0.08955223880597014,166.64933403895395,0.40298507462686567,0.5373134328358209,0.895847707463892
20,6,0.05,7.835820895522388,17.187725575181876,3.0,0.1044776119402985,166.71717664411,0.40298507462686567,0.5373134328358209,0.8958214727070564
20,5,0.1,8.149253731343284,17.586460192135092,3.0,1.791044776119403,172.08548908462825,0.3880597014925373,0.5223880597014925,0.8989500690504855
30,8,0.05,8.149253731343284,17.663521732655695,3.0,-3.074626865671642,152.37037119130736,0.373134328358209,0.6119402985074627,0.8867581351713304
30,8,0.1,8.149253731343284,17.663521732655695,3.0,-3.074626865671642,152.37037119130736,0.373134328358209,0.6119402985074627,0.8867581351713304
20,5,0.05,8.164179104477611,17.586884529747916,3.0,1.8059701492537314,172.1533316897843,0.3880597014925373,0.5223880597014925,0.8989333663246203
30,6,0.1,8.208955223880597,18.17083114438115,3.0,-0.835820895522388,163.99069078070536,0.43283582089552236,0.5671641791044776,0.8832807614941421
30,6,0.05,8.223880597014926,18.171241835679428,3.0,-0.8208955223880597,164.0585333858614,0.43283582089552236,0.5671641791044776,0.8832443383237281
30,5,0.1,8.567164179104477,18.502924335229388,3.0,0.835820895522388,169.47293118904003,0.3880597014925373,0.5373134328358209,0.8862973591424957
30,5,0.05,8.582089552238806,18.503327655542346,3.0,0.8507462686567164,169.54077379419604,0.3880597014925373,0.5373134328358209,0.8862709031214376
10,4,0.1,8.895522388059701,18.13383083894637,5.0,6.835820895522388,183.48433215528465,0.34328358208955223,0.44776119402985076,0.9210757730015999
10,4,0.05,8.940298507462687,18.143293650206182,5.0,6.880597014925373,183.64153551192203,0.34328358208955223,0.43283582089552236,0.9211229365527634
20,4,0.1,9.671641791044776,18.965797967323006,4.0,4.955223880597015,179.45829230463923,0.34328358208955223,0.43283582089552236,0.9037789365578919
20,4,0.05,9.701492537313433,18.97130590552991,4.0,4.985074626865671,179.55060273460566,0.34328358208955223,0.43283582089552236,0.9038103770604415
30,4,0.1,10.074626865671641,19.86409045368649,4.0,3.8656716417910446,176.65143673580081,0.34328358208955223,0.47761194029850745,0.8891225005690462
30,4,0.05,10.104477611940299,19.869349379788947,4.0,3.8955223880597014,176.74374716576722,0.34328358208955223,0.47761194029850745,0.8891382378259569
